filename,notes,authors,licenses,urls
"body/bodies/female/walk/taupe.png","see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating), bluecarrot16, TheraHedwig, Evert, MuffinElZangano, Durrani, Pierre Vigier (pvigier), ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-ladies, https://opengameart.org/content/lpc-7-womens-shirts, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-revised-character-basics, https://gitlab.com/vagabondgame/lpc-characters, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"head/heads/human/female/walk/taupe.png","original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/, https://opengameart.org/content/lpc-character-bases"
"head/faces/female/neutral/walk/taupe.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"hair/pigtails_bangs/adult/walk/light_brown.png","(astarea)","Emilio J. Sanchez-Sierra, bluecarrot16","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/steampun-a-fy-with-concept-art, https://opengameart.org/content/lpc-hair"
"eyes/human/${head}/neutral/walk/blue.png","original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman, Matthew Krohn (makrohn), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
"torso/clothes/tunic/female/walk/white.png",""pirate shirt" by MadMarcel, edited to all poses by makrohn, edited from tube-top/tanktop to sleeveless then to tunic by JaidynReiman, edits for v3 bases and further cleanup by bluecarrot16","bluecarrot16, JaidynReiman, Matthew Krohn (makrohn), Marcel van de Steeg (MadMarcel), Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle, https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, http://opengameart.org/content/lpc-clothing-updates"
"torso/aprons/overalls/female/walk/bluegray.png","original overalls by ElizaWy, extended to all animation frames, adapted from teen to male base, and edited for v3 bases by bluecarrot16; extended to combat animations by JaidynReiman","ElizaWy, bluecarrot16, JaidynReiman","OGA-BY 3.0, GPL 3.0","https://opengameart.org/content/lpc-revised-character-basics, http://opengameart.org/content/lpc-clothing-updates"
"feet/slippers/thin/walk/black.png","original by Luke Mehl, Joe White did thrust/shoot animations, edited for v3 bases and male sprites by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","bluecarrot16, JaidynReiman, Joe White, Luke Mehl","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/thin-mage-clothing-set, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-expanded-socks-shoes"
